ID,Date,1 - Bedroom Austin,1 - Bedroom Houston,1 - Bedroom San Antonio,2 - Bedroom Austin,2 - Bedroom Houston,2 - Bedroom San Antonio,3 - Bedroom Austin,3 - Bedroom Houston,3 - Bedroom San Antonio
0,11/1/2014,1000,1005,769,1326,1190,966,1651,1308,1296
1,12/1/2014,999,1026,768,1309,1212,969,1627,1325,1299
2,1/1/2015,1007,1057,775,1319,1264,966,1651,1342,1294
3,2/1/2015,1023,1095,793,1362,1317,978,1695,1379,1298
4,3/1/2015,1027,1070,805,1376,1321,1006,1700,1442,1310
5,4/1/2015,1027,956,808,1386,1195,1030,1728,1458,1315
6,5/1/2015,1065,914,832,1406,1151,1067,1791,1403,1336
7,6/1/2015,1132,895,808,1471,1128,1027,1875,1385,1324
8,7/1/2015,1155,940,827,1501,1201,1051,1885,1380,1325
9,8/1/2015,1122,1015,816,1465,1318,1035,1852,1418,1304
10,9/1/2015,1118,1020,815,1461,1317,1023,1858,1487,1300
11,10/1/2015,1118,1056,814,1468,1365,1039,1802,1492,1303
12,11/1/2015,1108,1027,785,1461,1312,1002,1855,1494,1282
13,12/1/2015,1118,973,795,1479,1245,1007,1878,1451,1295
14,1/1/2016,1139,962,805,1490,1185,1022,1858,1455,1295
15,2/1/2016,1159,977,814,1504,1203,1045,1916,1433,1300
16,3/1/2016,1148,957,853,1496,1187,1094,1811,1456,1347
17,4/1/2016,1133,1035,868,1484,1303,1118,1805,1426,1354
18,5/1/2016,1128,1262,890,1482,1605,1123,1809,1466,1376
19,6/1/2016,1114,1333,858,1458,1721,1102,1834,1586,1379
20,7/1/2016,1111,1291,840,1450,1635,1089,1847,1671,1377
21,8/1/2016,1134,1195,894,1446,1516,1153,1847,1695,1373
22,9/1/2016,1120,1099,857,1423,1399,1101,1839,1627,1350
23,10/1/2016,1172,1076,868,1474,1340,1112,1830,1551,1351
24,11/1/2016,1187,1064,847,1494,1315,1093,1828,1500,1348
25,12/1/2016,1170,1210,887,1468,1485,1141,1779,1481,1344
26,1/1/2017,1118,1237,889,1417,1524,1131,1744,1543,1326
27,2/1/2017,1089,1205,829,1396,1497,1076,1733,1570,1343
28,3/1/2017,1062,1134,822,1348,1402,1070,1715,1536,1350
29,4/1/2017,1055,1094,819,1340,1335,1055,1707,1493,1375
30,5/1/2017,1056,1160,815,1343,1389,1041,1735,1472,1368
31,6/1/2017,1042,1183,820,1330,1416,1042,1731,1517,1391
32,7/1/2017,1073,1141,828,1368,1391,1034,1819,1514,1395
33,8/1/2017,1095,1111,838,1399,1352,1037,1899,1505,1390
34,9/1/2017,1088,1183,832,1392,1478,1023,1845,1518,1373
35,10/1/2017,1104,1206,829,1388,1499,1024,1796,1508,1350
36,11/1/2017,1142,1261,850,1412,1550,1059,1768,1505,1354
37,12/1/2017,1183,1270,846,1467,1551,1053,1768,1548,1350
38,1/1/2018,1158,1205,848,1456,1479,1065,1818,1511,1350
39,2/1/2018,1169,1267,867,1459,1618,1093,1797,1509,1373
40,3/1/2018,1163,1294,882,1446,1726,1139,1798,1539,1399
41,4/1/2018,1174,1271,882,1454,1674,1143,1807,1540,1404
42,5/1/2018,1179,1289,892,1463,1677,1152,1802,1560,1424
43,6/1/2018,1191,1285,899,1467,1671,1161,1798,1598,1448
44,7/1/2018,1190,1276,912,1479,1667,1166,1827,1567,1450
45,8/1/2018,1204,1262,912,1486,1602,1166,1821,1537,1450
46,9/1/2018,1225,1261,913,1496,1569,1154,1811,1536,1428
47,10/1/2018,1214,1203,874,1517,1436,1114,1830,1512,1406
48,11/1/2018,1197,1212,868,1496,1469,1102,1812,1510,1399
49,12/1/2018,1210,1177,890,1496,1453,1134,1802,1569,1400
50,1/1/2019,1181,1147,906,1473,1410,1154,1800,1570,1405
51,2/1/2019,1187,1142,905,1489,1362,1149,1831,1523,1396
52,3/1/2019,1189,1137,902,1477,1346,1119,1841,1500,1396
53,4/1/2019,1199,1168,898,1512,1379,1118,1850,1507,1400
54,5/1/2019,1179,1213,919,1517,1473,1149,1887,1550,1422
55,6/1/2019,1187,1210,901,1510,1475,1124,1863,1546,1406
56,7/1/2019,1202,1104,892,1528,1328,1101,1902,1511,1425
57,8/1/2019,1216,1094,898,1535,1320,1136,1915,1547,1448
58,9/1/2019,1248,1070,892,1566,1300,1124,1913,1515,1418
59,10/1/2019,1259,1087,889,1572,1310,1115,1901,1503,1402
60,11/1/2019,1235,1055,894,1545,1287,1102,1904,1500,1412
61,12/1/2019,1235,1039,873,1514,1273,1092,1896,1500,1406
62,1/1/2020,1244,1066,861,1519,1308,1088,1914,1523,1417
63,2/1/2020,1263,1072,865,1544,1305,1092,1926,1521,1444
64,3/1/2020,1274,1112,855,1553,1351,1099,1948,1561,1449
65,4/1/2020,1269,1099,861,1542,1310,1092,1937,1556,1450
66,5/1/2020,1260,1098,871,1535,1323,1090,1916,1576,1455
67,6/1/2020,1250,1102,879,1523,1318,1095,1942,1606,1479
68,7/1/2020,1265,1111,878,1566,1360,1100,1959,1620,1495
69,8/1/2020,1272,1108,896,1564,1365,1100,1976,1650,1495
70,9/1/2020,1274,1100,901,1587,1345,1112,1995,1647,1482
71,10/1/2020,1283,1108,904,1593,1363,1128,1977,1650,1456
72,11/1/2020,1281,1113,928,1597,1377,1145,1973,1657,1475
73,12/1/2020,1192,1082,927,1517,1342,1147,1953,1675,1499
74,1/1/2021,1187,1082,947,1524,1345,1166,1978,1500,1464
75,2/1/2021,1188,1107,969,1539,1396,1202,1985,1590,1473
76,3/1/2021,1185,1092,953,1545,1386,1198,1994,1747,1537
77,4/1/2021,1179,1073,937,1544,1360,1159,2002,1713,1504
78,5/1/2021,1193,1039,916,1559,1335,1132,2019,1717,1534
79,6/1/2021,1270,1199,950,1604,1527,1184,2053,1760,1572
80,7/1/2021,1345,1167,977,1672,1487,1205,2087,1762,1620
81,8/1/2021,1440,1123,1007,1809,1425,1260,2212,1764,1667
82,9/1/2021,1489,1181,1050,1884,1499,1304,2297,1797,1697
83,10/1/2021,1510,1214,1064,1898,1524,1329,2317,1819,1696
84,11/1/2021,1539,1209,1094,1917,1532,1400,2307,1852,1697
85,12/1/2021,1492,1165,1130,1908,1478,1431,2318,1881,1698
86,1/1/2022,1553,1221,1076,1928,1509,1373,2388,1948,1754
87,2/1/2022,1546,1213,1079,1905,1469,1384,2396,1868,1748
88,3/1/2022,1573,1214,1052,1900,1471,1387,2367,1786,1743
89,4/1/2022,1559,1287,1077,1933,1597,1374,2393,1777,1732
90,5/1/2022,1550,1317,1102,1935,1704,1413,2415,1807,1745
91,6/1/2022,1581,1279,1141,1951,1563,1423,2295,1742,1763
92,7/1/2022,1631,1318,1129,2061,1572,1408,2516,1836,1794
93,8/1/2022,1647,1310,1129,2062,1540,1410,2575,1857,1782
94,9/1/2022,1715,1328,1156,2154,1612,1456,2580,1877,1749
95,10/1/2022,1663,1378,1166,2104,1764,1447,2496,1946,1755
96,11/1/2022,1680,1328,1179,2082,1691,1443,2488,1918,1747
97,12/1/2022,1669,1325,1199,2104,1695,1464,2500,1900,1750
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
