ID,Date,Houston,San Antonio,Austin
0,1/31/1996,112070.7903,122202.9026,166909.2586
1,2/29/1996,111884.9291,121737.8291,163902.4966
2,3/31/1996,111932.3814,121398.1582,159222.8635
3,4/30/1996,112243.5803,121484.5017,158114.7927
4,5/31/1996,112401.8291,121508.7761,161428.3963
5,6/30/1996,112113.3754,121510.9894,162329.0688
6,7/31/1996,112025.494,121631.9166,166184.7831
7,8/31/1996,112131.6251,121620.3232,163612.8588
8,9/30/1996,112281.9895,121787.1657,164647.5301
9,10/31/1996,112678.3531,121827.239,164018.9753
10,11/30/1996,112768.5361,121934.3496,165133.2809
11,12/31/1996,112933.2895,121710.3048,166748.0638
12,1/31/1997,113025.077,121871.1032,167246.0297
13,2/28/1997,112845.531,121879.1331,167749.6471
14,3/31/1997,113110.6762,121972.9548,167558.4631
15,4/30/1997,113028.9576,122021.472,167970.0965
16,5/31/1997,113129.3938,122059.0059,165825.0863
17,6/30/1997,113600.483,122087.7513,166785.9681
18,7/31/1997,113538.1438,121912.1353,164419.2357
19,8/31/1997,113566.1255,122036.2619,163746.9055
20,9/30/1997,113821.9717,122085.7627,166317.7905
21,10/31/1997,114019.226,122166.9953,167007.8472
22,11/30/1997,114125.5635,122136.3787,165434.5005
23,12/31/1997,114325.4157,122100.3311,167104.5958
24,1/31/1998,116403.0551,124521.6084,167672.1334
25,2/28/1998,116486.9583,124574.5026,167838.0067
26,3/31/1998,116660.9943,124602.6717,173160.8643
27,4/30/1998,116814.5992,124512.1322,171790.8881
28,5/31/1998,117166.2128,124797.197,170850.0499
29,6/30/1998,117486.7918,125036.7053,172366.3067
30,7/31/1998,117666.547,125306.0822,171774.1974
31,8/31/1998,117830.6112,125137.3111,169256.6018
32,9/30/1998,118136.4789,125236.7721,167642.9531
33,10/31/1998,118398.4502,125420.1545,169502.1846
34,11/30/1998,117799.7976,125536.0097,169289.578
35,12/31/1998,117983.0197,125738.101,168128.0151
36,1/31/1999,119118.707,125841.9466,168163.4124
37,2/28/1999,120103.481,126652.5186,168242.1111
38,3/31/1999,120791.9064,127260.5781,166827.884
39,4/30/1999,121580.185,128022.4682,167311.2497
40,5/31/1999,122319.7222,128557.1307,169118.8612
41,6/30/1999,123206.6269,129012.9449,169795.1305
42,7/31/1999,123885.9846,129534.0067,170126.3584
43,8/31/1999,124426.5946,129872.376,172797.6624
44,9/30/1999,124807.554,130295.5195,175216.9486
45,10/31/1999,125120.6476,130765.5081,175781.4566
46,11/30/1999,125999.2648,131342.5209,176574.1814
47,12/31/1999,126529.9073,131769.7133,180280.9849
48,1/31/2000,126928.7738,132020.412,182203.0761
49,2/29/2000,126916.2586,132410.3257,183423.4433
50,3/31/2000,126384.5142,132520.7813,184480.5429
51,4/30/2000,127121.0301,132621.1889,183910.8669
52,5/31/2000,126927.423,,184657.5868
53,6/30/2000,127150.2458,129303.7748,184691.4575
54,7/31/2000,127530.337,129282.3058,184021.6371
55,8/31/2000,127758.4807,129429.3232,186311.8166
56,9/30/2000,128191.2802,129366.9689,185920.3115
57,10/31/2000,128231.3404,129323.0523,187663.8554
58,11/30/2000,129433.6334,129266.3167,188226.4102
59,12/31/2000,129652.0488,129135.695,188235.5031
60,1/31/2001,128985.0018,128975.555,188224.7494
61,2/28/2001,129193.1586,128624.5248,188779.616
62,3/31/2001,127920.6034,128445.0487,189878.5915
63,4/30/2001,128204.2367,128246.3745,190141.0862
64,5/31/2001,129043.3932,128097.4805,190199.1101
65,6/30/2001,128721.1012,128168.398,190701.9604
66,7/31/2001,128739.2951,128104.6365,190431.0095
