ID Household Income Bucket,Household Income Bucket,ID Year,Year,Household Income,Household Income Moe,Geography,ID Geography,Slug Geography,share
0,"< $10,000",2020,"2020",7145751,24748,"United States","01000US","united-states",0.05840216265856758
1,"$10,000-$14,999",2020,"2020",5020097,17141,"United States","01000US","united-states",0.04102921044349112
2,"$15,000-$19,999",2020,"2020",5030224,16026,"United States","01000US","united-states",0.04111197832908402
3,"$20,000-$24,999",2020,"2020",5329476,20676,"United States","01000US","united-states",0.04355776240131123
4,"$25,000-$29,999",2020,"2020",5187269,18811,"United States","01000US","united-states",0.04239550578962872
5,"$30,000-$34,999",2020,"2020",5382215,20154,"United States","01000US","united-states",0.043988797803531404
6,"$35,000-$39,999",2020,"2020",4960174,20596,"United States","01000US","united-states",0.04053946026985796
7,"$40,000-$44,999",2020,"2020",5128434,16706,"United States","01000US","united-states",0.041914647830819794
8,"$45,000-$49,999",2020,"2020",4601774,18581,"United States","01000US","united-states",0.037610260092461545
9,"$50,000-$59,999",2020,"2020",9122890,26253,"United States","01000US","united-states",0.0745613030311607
10,"$60,000-$74,999",2020,"2020",11911889,32548,"United States","01000US","united-states",0.09735576833684828
11,"$75,000-$99,999",2020,"2020",15613243,47722,"United States","01000US","united-states",0.1276069033630953
12,"$100,000-$124,999",2020,"2020",11455250,46295,"United States","01000US","united-states",0.09362366164096066
13,"$125,000-$149,999",2020,"2020",7673688,38871,"United States","01000US","united-states",0.06271698730715612
14,"$150,000-$199,999",2020,"2020",8688154,41715,"United States","01000US","united-states",0.07100820936955186
15,"$200,000+",2020,"2020",10103691,51548,"United States","01000US","united-states",0.0825773813324737
0,"< $10,000",2020,"2020",66916,2289,"Houston, TX","16000US4835000","houston-tx",0.07649055184625074
1,"$10,000-$14,999",2020,"2020",39538,1619,"Houston, TX","16000US4835000","houston-tx",0.04519522145521343
2,"$15,000-$19,999",2020,"2020",45746,2106,"Houston, TX","16000US4835000","houston-tx",0.05229148163008229
3,"$20,000-$24,999",2020,"2020",45851,2104,"Houston, TX","16000US4835000","houston-tx",0.052411505360488414
4,"$25,000-$29,999",2020,"2020",45886,2090,"Houston, TX","16000US4835000","houston-tx",0.05245151327062379
5,"$30,000-$34,999",2020,"2020",46698,2237,"Houston, TX","16000US4835000","houston-tx",0.0533796967857645
6,"$35,000-$39,999",2020,"2020",38179,2052,"Houston, TX","16000US4835000","houston-tx",0.04364177145881414
7,"$40,000-$44,999",2020,"2020",42987,2430,"Houston, TX","16000US4835000","houston-tx",0.049137715228267986
8,"$45,000-$49,999",2020,"2020",37627,1598,"Houston, TX","16000US4835000","houston-tx",0.04301078956182194
9,"$50,000-$59,999",2020,"2020",68823,2511,"Houston, TX","16000US4835000","houston-tx",0.07867041140705534
10,"$60,000-$74,999",2020,"2020",79273,3049,"Houston, TX","16000US4835000","houston-tx",0.09061563029033169
11,"$75,000-$99,999",2020,"2020",94215,2814,"Houston, TX","16000US4835000","houston-tx",0.10769557866869678
12,"$100,000-$124,999",2020,"2020",63444,2788,"Houston, TX","16000US4835000","houston-tx",0.07252176716082151
13,"$125,000-$149,999",2020,"2020",38834,1651,"Houston, TX","16000US4835000","houston-tx",0.04439049091991902
14,"$150,000-$199,999",2020,"2020",46914,1807,"Houston, TX","16000US4835000","houston-tx",0.0536266027454571
15,"$200,000+",2020,"2020",73896,1954.9999999999998,"Houston, TX","16000US4835000","houston-tx",0.08446927221039131
0,"< $10,000",2019,"2019",7302871,18046,"United States","01000US","united-states",0.06047623386946217
1,"$10,000-$14,999",2019,"2019",5189583,15224,"United States","01000US","united-states",0.04297576051842968
2,"$15,000-$19,999",2019,"2019",5300624,15337,"United States","01000US","united-states",0.04389530866396025
3,"$20,000-$24,999",2019,"2019",5459520,16244,"United States","01000US","united-states",0.04521115166008083
4,"$25,000-$29,999",2019,"2019",5285952,16670,"United States","01000US","united-states",0.043773807503206794
5,"$30,000-$34,999",2019,"2019",5506182,18565,"United States","01000US","united-states",0.04559756708831677
6,"$35,000-$39,999",2019,"2019",5093804,14176,"United States","01000US","united-states",0.04218259941729792
7,"$40,000-$44,999",2019,"2019",5081209,16048.000000000002,"United States","01000US","united-states",0.042078298223207834
8,"$45,000-$49,999",2019,"2019",4647032,14255,"United States","01000US","united-states",0.038482809573231476
9,"$50,000-$59,999",2019,"2019",9090005,22946,"United States","01000US","united-states",0.07527577417902911
10,"$60,000-$74,999",2019,"2019",11699885,30719,"United States","01000US","united-states",0.09688860470160468
11,"$75,000-$99,999",2019,"2019",15374617,51444,"United States","01000US","united-states",0.12731964365047788
12,"$100,000-$124,999",2019,"2019",11019036,49867,"United States","01000US","united-states",0.09125038606761957
13,"$125,000-$149,999",2019,"2019",7267775,40108,"United States","01000US","united-states",0.06018559832299249
14,"$150,000-$199,999",2019,"2019",8173563,49077,"United States","01000US","united-states",0.06768657251850442
15,"$200,000+",2019,"2019",9264390,54033.00000000001,"United States","01000US","united-states",0.07671988404257814
0,"< $10,000",2019,"2019",66535,2112,"Houston, TX","16000US4835000","houston-tx",0.07751283240172699
1,"$10,000-$14,999",2019,"2019",40788,1691,"Houston, TX","16000US4835000","houston-tx",0.047517748673655075
2,"$15,000-$19,999",2019,"2019",47688,1615,"Houston, TX","16000US4835000","houston-tx",0.05555620277408216
3,"$20,000-$24,999",2019,"2019",47948,1622,"Houston, TX","16000US4835000","houston-tx",0.05585910104453304
4,"$25,000-$29,999",2019,"2019",46628,1445,"Houston, TX","16000US4835000","houston-tx",0.0543213098253209
5,"$30,000-$34,999",2019,"2019",46382,1781.0000000000002,"Houston, TX","16000US4835000","houston-tx",0.05403472146174045
6,"$35,000-$39,999",2019,"2019",40939,1769,"Houston, TX","16000US4835000","houston-tx",0.047693662669186156
7,"$40,000-$44,999",2019,"2019",39501,1593,"Houston, TX","16000US4835000","houston-tx",0.04601840223492324
8,"$45,000-$49,999",2019,"2019",35413,1677,"Houston, TX","16000US4835000","houston-tx",0.04125590942875716
9,"$50,000-$59,999",2019,"2019",68447,2119,"Houston, TX","16000US4835000","houston-tx",0.07974029968288882
10,"$60,000-$74,999",2019,"2019",74869,2002.9999999999998,"Houston, TX","16000US4835000","houston-tx",0.08722188696302544
11,"$75,000-$99,999",2019,"2019",91083,2402,"Houston, TX","16000US4835000","houston-tx",0.1061110891056812
12,"$100,000-$124,999",2019,"2019",59288,1848,"Houston, TX","16000US4835000","houston-tx",0.06907012560958277
13,"$125,000-$149,999",2019,"2019",37423,1478,"Houston, TX","16000US4835000","houston-tx",0.043597546058012006
14,"$150,000-$199,999",2019,"2019",45305,1605,"Houston, TX","16000US4835000","houston-tx",0.0527800236260651
15,"$200,000+",2019,"2019",70137,1568,"Houston, TX","16000US4835000","houston-tx",0.0817091384408195
0,"< $10,000",2018,"2018",7584305,18464,"United States","01000US","united-states",0.06334500034945256
1,"$10,000-$14,999",2018,"2018",5507051,15243,"United States","01000US","united-states",0.04599553255300955
2,"$15,000-$19,999",2018,"2018",5488289,17043,"United States","01000US","united-states",0.045838830139728906
3,"$20,000-$24,999",2018,"2018",5658672,16600,"United States","01000US","united-states",0.04726188883720228
4,"$25,000-$29,999",2018,"2018",5558387,15816,"United States","01000US","united-states",0.046424296815251044
5,"$30,000-$34,999",2018,"2018",5559047,15601,"United States","01000US","united-states",0.04642980921226444
6,"$35,000-$39,999",2018,"2018",5192595,16659,"United States","01000US","united-states",0.04336915934809658
7,"$40,000-$44,999",2018,"2018",5276041,16523,"United States","01000US","united-states",0.04406611007715618
8,"$45,000-$49,999",2018,"2018",4656185,15063,"United States","01000US","united-states",0.03888900043604731
9,"$50,000-$59,999",2018,"2018",9140757,23730,"United States","01000US","united-states",0.07634466907109629
10,"$60,000-$74,999",2018,"2018",11769465,34020,"United States","01000US","united-states",0.09829994502302712
11,"$75,000-$99,999",2018,"2018",14937330,47276,"United States","01000US","united-states",0.12475832315154628
12,"$100,000-$124,999",2018,"2018",10600942,51888,"United States","01000US","united-states",0.08854030457563697
13,"$125,000-$149,999",2018,"2018",6932183,35577,"United States","01000US","united-states",0.05789840131132241
14,"$150,000-$199,999",2018,"2018",7513313,42617,"United States","01000US","united-states",0.06275206688161229
15,"$200,000+",2018,"2018",8355566,47620,"United States","01000US","united-states",0.06978666221754978
0,"< $10,000",2018,"2018",65591,2050,"Houston, TX","16000US4835000","houston-tx",0.07731687766697315
1,"$10,000-$14,999",2018,"2018",44089,1393,"Houston, TX","16000US4835000","houston-tx",0.0519709078907042
2,"$15,000-$19,999",2018,"2018",48964,1780,"Houston, TX","16000US4835000","houston-tx",0.05771742461748827
3,"$20,000-$24,999",2018,"2018",48396,1761,"Houston, TX","16000US4835000","houston-tx",0.05704788174552656
4,"$25,000-$29,999",2018,"2018",48316,1746,"Houston, TX","16000US4835000","houston-tx",0.0569535799325742
5,"$30,000-$34,999",2018,"2018",45599,1688.9999999999998,"Houston, TX","16000US4835000","houston-tx",0.05375085461017988
6,"$35,000-$39,999",2018,"2018",40005,1571,"Houston, TX","16000US4835000","houston-tx",0.04715680033948653
7,"$40,000-$44,999",2018,"2018",41599,1462,"Houston, TX","16000US4835000","houston-tx",0.04903576396256218
8,"$45,000-$49,999",2018,"2018",33347,1382,"Houston, TX","16000US4835000","houston-tx",0.039308531956526865
9,"$50,000-$59,999",2018,"2018",66388,1910.0000000000002,"Houston, TX","16000US4835000","houston-tx",0.07825635947851098
10,"$60,000-$74,999",2018,"2018",75332,2266,"Houston, TX","16000US4835000","houston-tx",0.08879930216658415
11,"$75,000-$99,999",2018,"2018",85863,2258,"Houston, TX","16000US4835000","houston-tx",0.10121295706909965
12,"$100,000-$124,999",2018,"2018",58890,1951,"Houston, TX","16000US4835000","houston-tx",0.06941792205955159
13,"$125,000-$149,999",2018,"2018",37290,1314,"Houston, TX","16000US4835000","houston-tx",0.04395643256241601
14,"$150,000-$199,999",2018,"2018",42178,1379,"Houston, TX","16000US4835000","houston-tx",0.049718273333804845
15,"$200,000+",2018,"2018",66493,1859.0000000000002,"Houston, TX","16000US4835000","houston-tx",0.07838013060801094
0,"< $10,000",2017,"2017",7942251,17662,"United States","01000US","united-states",0.06683938094618261
1,"$10,000-$14,999",2017,"2017",5768114,16409,"United States","01000US","united-states",0.04854255663627467
2,"$15,000-$19,999",2017,"2017",5727180,16801,"United States","01000US","united-states",0.04819806951043956
3,"$20,000-$24,999",2017,"2017",5910725,17864,"United States","01000US","united-states",0.04974272406438996
4,"$25,000-$29,999",2017,"2017",5619002,16113.000000000002,"United States","01000US","united-states",0.04728767892318714
5,"$30,000-$34,999",2017,"2017",5711286,15891,"United States","01000US","united-states",0.04806431081649264
6,"$35,000-$39,999",2017,"2017",5332778,16488,"United States","01000US","united-states",0.044878911563412165
7,"$40,000-$44,999",2017,"2017",5354520,15415.000000000002,"United States","01000US","united-states",0.04506188510838473
8,"$45,000-$49,999",2017,"2017",4725195,16890,"United States","01000US","united-states",0.03976569220111494
9,"$50,000-$59,999",2017,"2017",9181800,20965,"United States","01000US","united-states",0.07727101900602984
10,"$60,000-$74,999",2017,"2017",11818514,30722.999999999996,"United States","01000US","united-states",0.0994607397152007
11,"$75,000-$99,999",2017,"2017",14636046,49159,"United States","01000US","united-states",0.12317216544023252
12,"$100,000-$124,999",2017,"2017",10273788,47842,"United States","01000US","united-states",0.08646083206037174
13,"$125,000-$149,999",2017,"2017",6428069,37952,"United States","01000US","united-states",0.054096521583030695
14,"$150,000-$199,999",2017,"2017",6931136,37236,"United States","01000US","united-states",0.05833016854967192
15,"$200,000+",2017,"2017",7465517,42206,"United States","01000US","united-states",0.06282734387558418
0,"< $10,000",2017,"2017",67176,1956,"Houston, TX","16000US4835000","houston-tx",0.08007151796888969
1,"$10,000-$14,999",2017,"2017",46364,1577,"Houston, TX","16000US4835000","houston-tx",0.05526431849335479
2,"$15,000-$19,999",2017,"2017",51104,1699,"Houston, TX","16000US4835000","houston-tx",0.060914238035639785
3,"$20,000-$24,999",2017,"2017",51124,1582,"Houston, TX","16000US4835000","houston-tx",0.060938077358603016
