ID Real Estate Taxes Paid,Real Estate Taxes Paid,ID Year,Year,Real Estate Taxes by Mortgage,Real Estate Taxes by Mortgage Moe,Geography,ID Geography,Slug Geography,share
0,"Less Than $800",2020,"2020",10933041,41576.49616069157,"United States","01000US","united-states",0.13874175242828246
1,"$800 to $1,499",2020,"2020",12687284,46851.8859599056,"United States","01000US","united-states",0.1610033307032608
2,"$1,500 to $1,999",2020,"2020",7456713,32038.92721362562,"United States","01000US","united-states",0.09462668519899957
3,"$2,000 to $2,999",2020,"2020",12055376,49350.868786678926,"United States","01000US","united-states",0.15298433367457948
4,"$3,000 or More",2020,"2020",32307496,108348.73799449627,"United States","01000US","united-states",0.40998644490674885
5,"No Real Estate Taxes Paid",2020,"2020",3361466,18899.94290996669,"United States","01000US","united-states",0.042657453088128815
0,"Less Than $800",2020,"2020",41209,1902.1219729554673,"Houston, TX","16000US4835000","houston-tx",0.10982652797432965
1,"$800 to $1,499",2020,"2020",42841,1905.5734045163413,"Houston, TX","16000US4835000","houston-tx",0.11417598788973905
2,"$1,500 to $1,999",2020,"2020",27575,1422.1198964925568,"Houston, TX","16000US4835000","houston-tx",0.07349041493101362
3,"$2,000 to $2,999",2020,"2020",50152,1839.1913984139878,"Houston, TX","16000US4835000","houston-tx",0.13366060887108594
4,"$3,000 or More",2020,"2020",180131,3594.8130688535107,"Houston, TX","16000US4835000","houston-tx",0.48006897305307034
5,"No Real Estate Taxes Paid",2020,"2020",33311,1733.3643586966937,"Houston, TX","16000US4835000","houston-tx",0.08877748728076137
0,"Less Than $800",2019,"2019",11116778,38560.90797686175,"United States","01000US","united-states",0.14386110708541294
1,"$800 to $1,499",2019,"2019",12864206,49109.35984107306,"United States","01000US","united-states",0.16647439725204657
2,"$1,500 to $1,999",2019,"2019",7474286,34161.31920754817,"United States","01000US","united-states",0.09672398411059417
3,"$2,000 to $2,999",2019,"2019",11877218,47802.053188121536,"United States","01000US","united-states",0.15370188471648838
4,"$3,000 or More",2019,"2019",30755160,118969.237826423,"United States","01000US","united-states",0.39799943528502674
5,"No Real Estate Taxes Paid",2019,"2019",3186733,19969.552548817916,"United States","01000US","united-states",0.04123919155043118
0,"Less Than $800",2019,"2019",38978,1510.0877457949257,"Houston, TX","16000US4835000","houston-tx",0.10734990759943044
