ID Occupied By,Occupied By,ID Year,Year,Household Ownership,Household Ownership Moe,Geography,ID Geography,Slug Geography,share
0,"Owner Occupied",2020,"2020",78801376,342600,"United States","01000US","united-states",0.64404298146842
0,"Owner Occupied",2020,"2020",6168808,30914,"Texas","04000US48","texas",0.6227301038656097
0,"Owner Occupied",2020,"2020",192555,2336,"Fort Bend County, TX","05000US48157","fort-bend-county-tx",0.7754964780365607
0,"Owner Occupied",2020,"2020",897913,6706,"Harris County, TX","05000US48201","harris-county-tx",0.548930795617176
0,"Owner Occupied",2020,"2020",147027,2364,"Montgomery County, TX","05000US48339","montgomery-county-tx",0.7146982048328059
0,"Owner Occupied",2020,"2020",2594,421,"Aldine, TX","16000US4801696","aldine-tx",0.6019958226966814
0,"Owner Occupied",2020,"2020",21010,1016,"Atascocita, TX","16000US4804462","atascocita-tx",0.8073937437552839
0,"Owner Occupied",2020,"2020",5971,296,"Bellaire, TX","16000US4807300","bellaire-tx",0.883937823834197
0,"Owner Occupied",2020,"2020",403,62,"Brookside Village, TX","16000US4810648","brookside-village-tx",0.848421052631579
0,"Owner Occupied",2020,"2020",1179,131,"Bunker Hill Village, TX","16000US4811300","bunker-hill-village-tx",0.9364575059571089
0,"Owner Occupied",2020,"2020",8925,733,"Channelview, TX","16000US4814236","channelview-tx",0.7504414361389052
0,"Owner Occupied",2020,"2020",4263,350,"Cinco Ranch, TX","16000US4814929","cinco-ranch-tx",0.7247534852091125
0,"Owner Occupied",2020,"2020",4398,325,"Cloverleaf, TX","16000US4815628","cloverleaf-tx",0.6205728799209821
0,"Owner Occupied",2020,"2020",8592,560,"Deer Park, TX","16000US4819624","deer-park-tx",0.7383346223253415
0,"Owner Occupied",2020,"2020",1971,312,"Four Corners, TX","16000US4827102","four-corners-tx",0.6543824701195219
0,"Owner Occupied",2020,"2020",5902,721,"Fresno, TX","16000US4827540","fresno-tx",0.8144059610873465
0,"Owner Occupied",2020,"2020",10378,521,"Friendswood, TX","16000US4827648","friendswood-tx",0.7664697193500739
0,"Owner Occupied",2020,"2020",3458,223,"Fulshear, TX","16000US4827876","fulshear-tx",0.9637681159420289
0,"Owner Occupied",2020,"2020",2018,260,"Galena Park, TX","16000US4827996","galena-park-tx",0.668433256045048
0,"Owner Occupied",2020,"2020",717,83,"Hedwig Village, TX","16000US4833068","hedwig-village-tx",0.7249747219413549
0,"Owner Occupied",2020,"2020",310,54.99999999999999,"Hilshire Village, TX","16000US4834148","hilshire-village-tx",0.9717868338557993
0,"Owner Occupied",2020,"2020",375219,4376,"Houston, TX","16000US4835000","houston-tx",0.42890651523101136
0,"Owner Occupied",2020,"2020",2294,446,"Humble, TX","16000US4835348","humble-tx",0.3599560646477326
0,"Owner Occupied",2020,"2020",1645,151,"Hunters Creek Village, TX","16000US4835480","hunters-creek-village-tx",0.9927579963789982
0,"Owner Occupied",2020,"2020",2272,294,"Jacinto City, TX","16000US4837156","jacinto-city-tx",0.7071272953625894
0,"Owner Occupied",2020,"2020",2039,200,"Jersey Village, TX","16000US4837612","jersey-village-tx",0.5884559884559885
0,"Owner Occupied",2020,"2020",5137,468.00000000000006,"Katy, TX","16000US4838476","katy-tx",0.7909160892994611
0,"Owner Occupied",2020,"2020",1574,109.99999999999999,"Meadows Place, TX","16000US4847337","meadows-place-tx",0.8867605633802816
0,"Owner Occupied",2020,"2020",8656,749,"Mission Bend, TX","16000US4848772","mission-bend-tx",0.7967599410898379
0,"Owner Occupied",2020,"2020",20322,762,"Missouri City, TX","16000US4848804","missouri-city-tx",0.818544326741048
0,"Owner Occupied",2020,"2020",893,164,"Nassau Bay, TX","16000US4850376","nassau-bay-tx",0.4724867724867725
0,"Owner Occupied",2020,"2020",1135,118,"Oak Ridge North, TX","16000US4853190","oak-ridge-north-tx",0.9333881578947368
0,"Owner Occupied",2020,"2020",25274,887,"Pasadena, TX","16000US4856000","pasadena-tx",0.5246398472204924
0,"Owner Occupied",2020,"2020",32519,1073,"Pearland, TX","16000US4856348","pearland-tx",0.772459499263623
0,"Owner Occupied",2020,"2020",5601,564,"Pecan Grove, TX","16000US4856482","pecan-grove-tx",0.8597083653108212
0,"Owner Occupied",2020,"2020",1174,86,"Piney Point Village, TX","16000US4857800","piney-point-village-tx",0.9907172995780591
0,"Owner Occupied",2020,"2020",2677,320,"South Houston, TX","16000US4869020","south-houston-tx",0.5127370235587052
0,"Owner Occupied",2020,"2020",390,51,"Southside Place, TX","16000US4869272","southside-place-tx",0.7262569832402235
0,"Owner Occupied",2020,"2020",14374,888,"Spring, TX","16000US4869596","spring-tx",0.7121129551647263
0,"Owner Occupied",2020,"2020",1350,86,"Spring Valley Village, TX","16000US4869830","spring-valley-village-tx",0.9684361549497847
0,"Owner Occupied",2020,"2020",31541,936.9999999999999,"Sugar Land, TX","16000US4870808","sugar-land-tx",0.8118243591063523
0,"Owner Occupied",2020,"2020",29687,1299,"The Woodlands, TX","16000US4872656","the-woodlands-tx",0.7203834020868721
0,"Owner Occupied",2020,"2020",2061,283,"Tomball, TX","16000US4873316","tomball-tx",0.4563773250664305
0,"Owner Occupied",2020,"2020",848,225.99999999999997,"Webster, TX","16000US4876948","webster-tx",0.15898012748406448
0,"Owner Occupied",2020,"2020",5002,257,"West University Place, TX","16000US4877956","west-university-place-tx",0.9161172161172161
0,"Owner Occupied",2020,"2020",1466613,10021,"Houston-The Woodlands-Sugar Land, TX","31000US26420","houston-the-woodlands-sugar-land-tx",0.6090603253414774
0,"Owner Occupied",2019,"2019",77274381,377633,"United States","01000US","united-states",0.6399214141224628
0,"Owner Occupied",2019,"2019",6004802,29081,"Texas","04000US48","texas",0.6195852985565817
0,"Owner Occupied",2019,"2019",183583,2112,"Fort Bend County, TX","05000US48157","fort-bend-county-tx",0.7717365259392223
0,"Owner Occupied",2019,"2019",876454,5966,"Harris County, TX","05000US48201","harris-county-tx",0.5459520807690199
0,"Owner Occupied",2019,"2019",141137,2161,"Montgomery County, TX","05000US48339","montgomery-county-tx",0.7104843215923564
0,"Owner Occupied",2019,"2019",2370,224,"Aldine, TX","16000US4801696","aldine-tx",0.6200941915227629
0,"Owner Occupied",2019,"2019",20351,686,"Atascocita, TX","16000US4804462","atascocita-tx",0.8013782240598543
0,"Owner Occupied",2019,"2019",6035,204,"Bellaire, TX","16000US4807300","bellaire-tx",0.8936768843476973
0,"Owner Occupied",2019,"2019",433,87,"Brookside Village, TX","16000US4810648","brookside-village-tx",0.8747474747474747
0,"Owner Occupied",2019,"2019",1176,91,"Bunker Hill Village, TX","16000US4811300","bunker-hill-village-tx",0.9607843137254902
0,"Owner Occupied",2019,"2019",8688,453,"Channelview, TX","16000US4814236","channelview-tx",0.711897738446411
0,"Owner Occupied",2019,"2019",4510,289,"Cinco Ranch, TX","16000US4814929","cinco-ranch-tx",0.8301122768267992
0,"Owner Occupied",2019,"2019",4252,259,"Cloverleaf, TX","16000US4815628","cloverleaf-tx",0.611886602388833
0,"Owner Occupied",2019,"2019",8398,463,"Deer Park, TX","16000US4819624","deer-park-tx",0.7545372866127583
0,"Owner Occupied",2019,"2019",2169,286,"Four Corners, TX","16000US4827102","four-corners-tx",0.7407786885245902
0,"Owner Occupied",2019,"2019",5649,442.00000000000006,"Fresno, TX","16000US4827540","fresno-tx",0.8149163300634737
0,"Owner Occupied",2019,"2019",10729,376,"Friendswood, TX","16000US4827648","friendswood-tx",0.8119418798244287
0,"Owner Occupied",2019,"2019",2828,112,"Fulshear, TX","16000US4827876","fulshear-tx",0.9833101529902643
0,"Owner Occupied",2019,"2019",1819,175,"Galena Park, TX","16000US4827996","galena-park-tx",0.6360139860139861
0,"Owner Occupied",2019,"2019",620,63.00000000000001,"Hedwig Village, TX","16000US4833068","hedwig-village-tx",0.6385169927909372
0,"Owner Occupied",2019,"2019",307,47,"Hilshire Village, TX","16000US4834148","hilshire-village-tx",0.9715189873417721
0,"Owner Occupied",2019,"2019",363093,3509,"Houston, TX","16000US4835000","houston-tx",0.4230009296646916
0,"Owner Occupied",2019,"2019",2438,367,"Humble, TX","16000US4835348","humble-tx",0.39849624060150374
0,"Owner Occupied",2019,"2019",1528,80,"Hunters Creek Village, TX","16000US4835480","hunters-creek-village-tx",0.9922077922077922
0,"Owner Occupied",2019,"2019",2089,263,"Jacinto City, TX","16000US4837156","jacinto-city-tx",0.6505761445032701
0,"Owner Occupied",2019,"2019",2080,176,"Jersey Village, TX","16000US4837612","jersey-village-tx",0.5615550755939525
0,"Owner Occupied",2019,"2019",5345,352,"Katy, TX","16000US4838476","katy-tx",0.8036385505938957
0,"Owner Occupied",2019,"2019",1435,117.00000000000001,"Meadows Place, TX","16000US4847337","meadows-place-tx",0.9216441875401413
0,"Owner Occupied",2019,"2019",8203,416,"Mission Bend, TX","16000US4848772","mission-bend-tx",0.7613699647299054
0,"Owner Occupied",2019,"2019",20086,792,"Missouri City, TX","16000US4848804","missouri-city-tx",0.8148809282323827
0,"Owner Occupied",2019,"2019",861,127,"Nassau Bay, TX","16000US4850376","nassau-bay-tx",0.5097690941385435
0,"Owner Occupied",2019,"2019",1049,121,"Oak Ridge North, TX","16000US4853190","oak-ridge-north-tx",0.9209833187006146
0,"Owner Occupied",2019,"2019",25706,872,"Pasadena, TX","16000US4856000","pasadena-tx",0.5353297653012349
0,"Owner Occupied",2019,"2019",31509,991,"Pearland, TX","16000US4856348","pearland-tx",0.7591249668730575
0,"Owner Occupied",2019,"2019",5094,437.00000000000006,"Pecan Grove, TX","16000US4856482","pecan-grove-tx",0.8378289473684211
0,"Owner Occupied",2019,"2019",1202,65,"Piney Point Village, TX","16000US4857800","piney-point-village-tx",0.9901153212520593
0,"Owner Occupied",2019,"2019",2733,221.00000000000003,"South Houston, TX","16000US4869020","south-houston-tx",0.5635051546391753
0,"Owner Occupied",2019,"2019",408,41,"Southside Place, TX","16000US4869272","southside-place-tx",0.7338129496402878
0,"Owner Occupied",2019,"2019",14142,588,"Spring, TX","16000US4869596","spring-tx",0.6956564513748832
0,"Owner Occupied",2019,"2019",1382,86,"Spring Valley Village, TX","16000US4869830","spring-valley-village-tx",0.967109867039888
0,"Owner Occupied",2019,"2019",31979,796,"Sugar Land, TX","16000US4870808","sugar-land-tx",0.8137564252633722
0,"Owner Occupied",2019,"2019",29137,1020,"The Woodlands, TX","16000US4872656","the-woodlands-tx",0.7056330524072459
0,"Owner Occupied",2019,"2019",2022,250,"Tomball, TX","16000US4873316","tomball-tx",0.4628061341268025
0,"Owner Occupied",2019,"2019",654,156,"Webster, TX","16000US4876948","webster-tx",0.13095714857829396
0,"Owner Occupied",2019,"2019",4918,186,"West University Place, TX","16000US4877956","west-university-place-tx",0.9075475179922495
0,"Owner Occupied",2019,"2019",1421765,8292,"Houston-The Woodlands-Sugar Land, TX","31000US26420","houston-the-woodlands-sugar-land-tx",0.6044212517669065
0,"Owner Occupied",2018,"2018",76444810,367132,"United States","01000US","united-states",0.6384759732320674
0,"Owner Occupied",2018,"2018",5917771,29036.999999999996,"Texas","04000US48","texas",0.6194643048929106
0,"Owner Occupied",2018,"2018",178984,1882.0000000000002,"Fort Bend County, TX","05000US48157","fort-bend-county-tx",0.7769043454104289
0,"Owner Occupied",2018,"2018",865645,6326,"Harris County, TX","05000US48201","harris-county-tx",0.5466704473547603
0,"Owner Occupied",2018,"2018",137540,2045.9999999999998,"Montgomery County, TX","05000US48339","montgomery-county-tx",0.7132966502958672
0,"Owner Occupied",2018,"2018",2507,215.00000000000003,"Aldine, TX","16000US4801696","aldine-tx",0.6231667909520259
0,"Owner Occupied",2018,"2018",19766,618,"Atascocita, TX","16000US4804462","atascocita-tx",0.8030389209393028
0,"Owner Occupied",2018,"2018",5790,203,"Bellaire, TX","16000US4807300","bellaire-tx",0.8714629741119807
0,"Owner Occupied",2018,"2018",509,96,"Brookside Village, TX","16000US4810648","brookside-village-tx",0.8671209540034072
0,"Owner Occupied",2018,"2018",1164,74,"Bunker Hill Village, TX","16000US4811300","bunker-hill-village-tx",0.9635761589403974
0,"Owner Occupied",2018,"2018",8185,496.99999999999994,"Channelview, TX","16000US4814236","channelview-tx",0.6939969476004748
0,"Owner Occupied",2018,"2018",4657,235,"Cinco Ranch, TX","16000US4814929","cinco-ranch-tx",0.8279111111111112
