1 - Bedroom Date,1 - Bedroom Price,2 - Bedroom Date,2 - Bedroom Price,3 - Bedroom Date,3 - Bedroom Price
11/1/2014,1005,11/1/2014,1190,11/1/2014,1325
12/1/2014,1026,12/1/2014,1212,12/1/2014,1342
1/1/2015,1057,1/1/2015,1264,1/1/2015,1379
2/1/2015,1095,2/1/2015,1317,2/1/2015,1442
3/1/2015,1070,3/1/2015,1321,3/1/2015,1458
4/1/2015,956,4/1/2015,1195,4/1/2015,1403
5/1/2015,914,5/1/2015,1151,5/1/2015,1385
6/1/2015,895,6/1/2015,1128,6/1/2015,1380
7/1/2015,940,7/1/2015,1201,7/1/2015,1418
8/1/2015,1015,8/1/2015,1318,8/1/2015,1487
9/1/2015,1020,9/1/2015,1317,9/1/2015,1492
10/1/2015,1056,10/1/2015,1365,10/1/2015,1494
11/1/2015,1027,11/1/2015,1312,11/1/2015,1451
12/1/2015,973,12/1/2015,1245,12/1/2015,1455
1/1/2016,962,1/1/2016,1185,1/1/2016,1433
2/1/2016,977,2/1/2016,1203,2/1/2016,1456
3/1/2016,957,3/1/2016,1187,3/1/2016,1426
4/1/2016,1035,4/1/2016,1303,4/1/2016,1466
5/1/2016,1262,5/1/2016,1605,5/1/2016,1586
6/1/2016,1333,6/1/2016,1721,6/1/2016,1671
7/1/2016,1291,7/1/2016,1635,7/1/2016,1695
8/1/2016,1195,8/1/2016,1516,8/1/2016,1627
9/1/2016,1099,9/1/2016,1399,9/1/2016,1551
10/1/2016,1076,10/1/2016,1340,10/1/2016,1500
11/1/2016,1064,11/1/2016,1315,11/1/2016,1481
12/1/2016,1210,12/1/2016,1485,12/1/2016,1543
1/1/2017,1237,1/1/2017,1524,1/1/2017,1570
2/1/2017,1205,2/1/2017,1497,2/1/2017,1536
3/1/2017,1134,3/1/2017,1402,3/1/2017,1493
4/1/2017,1094,4/1/2017,1335,4/1/2017,1472
5/1/2017,1160,5/1/2017,1389,5/1/2017,1517
6/1/2017,1183,6/1/2017,1416,6/1/2017,1514
7/1/2017,1141,7/1/2017,1391,7/1/2017,1505
8/1/2017,1111,8/1/2017,1352,8/1/2017,1518
9/1/2017,1183,9/1/2017,1478,9/1/2017,1547
10/1/2017,1206,10/1/2017,1499,10/1/2017,1508
11/1/2017,1261,11/1/2017,1550,11/1/2017,1505
12/1/2017,1270,12/1/2017,1551,12/1/2017,1548
1/1/2018,1205,1/1/2018,1479,1/1/2018,1511
2/1/2018,1267,2/1/2018,1618,2/1/2018,1509
3/1/2018,1294,3/1/2018,1726,3/1/2018,1539
4/1/2018,1271,4/1/2018,1674,4/1/2018,1540
5/1/2018,1289,5/1/2018,1677,5/1/2018,1560
6/1/2018,1285,6/1/2018,1671,6/1/2018,1598
7/1/2018,1276,7/1/2018,1667,7/1/2018,1567
8/1/2018,1262,8/1/2018,1602,8/1/2018,1537
9/1/2018,1261,9/1/2018,1569,9/1/2018,1536
10/1/2018,1203,10/1/2018,1436,10/1/2018,1512
11/1/2018,1212,11/1/2018,1469,11/1/2018,1510
12/1/2018,1177,12/1/2018,1453,12/1/2018,1569
1/1/2019,1147,1/1/2019,1410,1/1/2019,1570
2/1/2019,1142,2/1/2019,1362,2/1/2019,1523
3/1/2019,1137,3/1/2019,1346,3/1/2019,1500
4/1/2019,1168,4/1/2019,1379,4/1/2019,1507
5/1/2019,1213,5/1/2019,1473,5/1/2019,1550
6/1/2019,1210,6/1/2019,1475,6/1/2019,1546
7/1/2019,1104,7/1/2019,1328,7/1/2019,1511
8/1/2019,1094,8/1/2019,1320,8/1/2019,1547
9/1/2019,1070,9/1/2019,1300,9/1/2019,1515
10/1/2019,1087,10/1/2019,1310,10/1/2019,1503
11/1/2019,1055,11/1/2019,1287,11/1/2019,1500
12/1/2019,1039,12/1/2019,1273,12/1/2019,1500
1/1/2020,1066,1/1/2020,1308,1/1/2020,1523
2/1/2020,1072,2/1/2020,1305,2/1/2020,1521
3/1/2020,1112,3/1/2020,1351,3/1/2020,1561
4/1/2020,1099,4/1/2020,1310,4/1/2020,1556
5/1/2020,1098,5/1/2020,1323,5/1/2020,1576
6/1/2020,1102,6/1/2020,1318,6/1/2020,1606
7/1/2020,1111,7/1/2020,1360,7/1/2020,1620
8/1/2020,1108,8/1/2020,1365,8/1/2020,1650
9/1/2020,1100,9/1/2020,1345,9/1/2020,1647
10/1/2020,1108,10/1/2020,1363,10/1/2020,1650
11/1/2020,1113,11/1/2020,1377,11/1/2020,1657
12/1/2020,1082,12/1/2020,1342,12/1/2020,1675
1/1/2021,1082,1/1/2021,1345,1/1/2021,1500
2/1/2021,1107,2/1/2021,1396,2/1/2021,1590
3/1/2021,1092,3/1/2021,1386,3/1/2021,1747
4/1/2021,1073,4/1/2021,1360,4/1/2021,1713
5/1/2021,1039,5/1/2021,1335,5/1/2021,1717
6/1/2021,1199,6/1/2021,1527,6/1/2021,1760
7/1/2021,1167,7/1/2021,1487,7/1/2021,1762
8/1/2021,1123,8/1/2021,1425,8/1/2021,1764
9/1/2021,1181,9/1/2021,1499,9/1/2021,1797
10/1/2021,1214,10/1/2021,1524,10/1/2021,1819
11/1/2021,1209,11/1/2021,1532,11/1/2021,1852
12/1/2021,1165,12/1/2021,1478,12/1/2021,1881
1/1/2022,1221,1/1/2022,1509,1/1/2022,1948
2/1/2022,1213,2/1/2022,1469,2/1/2022,1868
3/1/2022,1214,3/1/2022,1471,3/1/2022,1786
4/1/2022,1287,4/1/2022,1597,4/1/2022,1777
5/1/2022,1317,5/1/2022,1704,5/1/2022,1807
6/1/2022,1279,6/1/2022,1563,6/1/2022,1742
7/1/2022,1318,7/1/2022,1572,7/1/2022,1836
8/1/2022,1310,8/1/2022,1540,8/1/2022,1857
9/1/2022,1328,9/1/2022,1612,9/1/2022,1877
10/1/2022,1378,10/1/2022,1764,10/1/2022,1946
11/1/2022,1328,11/1/2022,1691,11/1/2022,1918
12/1/2022,1325,12/1/2022,1695,12/1/2022,1900
