1 - Bedroom Date,1 - Bedroom Price,2 - Bedroom Date,2 - Bedroom Price,3 - Bedroom Date,3 - Bedroom Price
11/1/2014,769,11/1/2014,966,11/1/2014,1296
12/1/2014,768,12/1/2014,969,12/1/2014,1299
1/1/2015,775,1/1/2015,966,1/1/2015,1294
2/1/2015,793,2/1/2015,978,2/1/2015,1298
3/1/2015,805,3/1/2015,1006,3/1/2015,1310
4/1/2015,808,4/1/2015,1030,4/1/2015,1315
5/1/2015,832,5/1/2015,1067,5/1/2015,1336
6/1/2015,808,6/1/2015,1027,6/1/2015,1324
7/1/2015,827,7/1/2015,1051,7/1/2015,1325
8/1/2015,816,8/1/2015,1035,8/1/2015,1304
9/1/2015,815,9/1/2015,1023,9/1/2015,1300
10/1/2015,814,10/1/2015,1039,10/1/2015,1303
11/1/2015,785,11/1/2015,1002,11/1/2015,1282
12/1/2015,795,12/1/2015,1007,12/1/2015,1295
1/1/2016,805,1/1/2016,1022,1/1/2016,1295
2/1/2016,814,2/1/2016,1045,2/1/2016,1300
3/1/2016,853,3/1/2016,1094,3/1/2016,1347
4/1/2016,868,4/1/2016,1118,4/1/2016,1354
5/1/2016,890,5/1/2016,1123,5/1/2016,1376
6/1/2016,858,6/1/2016,1102,6/1/2016,1379
7/1/2016,840,7/1/2016,1089,7/1/2016,1377
8/1/2016,894,8/1/2016,1153,8/1/2016,1373
9/1/2016,857,9/1/2016,1101,9/1/2016,1350
10/1/2016,868,10/1/2016,1112,10/1/2016,1351
11/1/2016,847,11/1/2016,1093,11/1/2016,1348
12/1/2016,887,12/1/2016,1141,12/1/2016,1344
1/1/2017,889,1/1/2017,1131,1/1/2017,1326
2/1/2017,829,2/1/2017,1076,2/1/2017,1343
3/1/2017,822,3/1/2017,1070,3/1/2017,1350
4/1/2017,819,4/1/2017,1055,4/1/2017,1375
5/1/2017,815,5/1/2017,1041,5/1/2017,1368
6/1/2017,820,6/1/2017,1042,6/1/2017,1391
7/1/2017,828,7/1/2017,1034,7/1/2017,1395
8/1/2017,838,8/1/2017,1037,8/1/2017,1390
9/1/2017,832,9/1/2017,1023,9/1/2017,1373
10/1/2017,829,10/1/2017,1024,10/1/2017,1350
11/1/2017,850,11/1/2017,1059,11/1/2017,1354
12/1/2017,846,12/1/2017,1053,12/1/2017,1350
1/1/2018,848,1/1/2018,1065,1/1/2018,1350
2/1/2018,867,2/1/2018,1093,2/1/2018,1373
3/1/2018,882,3/1/2018,1139,3/1/2018,1399
4/1/2018,882,4/1/2018,1143,4/1/2018,1404
5/1/2018,892,5/1/2018,1152,5/1/2018,1424
6/1/2018,899,6/1/2018,1161,6/1/2018,1448
7/1/2018,912,7/1/2018,1166,7/1/2018,1450
8/1/2018,912,8/1/2018,1166,8/1/2018,1450
9/1/2018,913,9/1/2018,1154,9/1/2018,1428
10/1/2018,874,10/1/2018,1114,10/1/2018,1406
11/1/2018,868,11/1/2018,1102,11/1/2018,1399
12/1/2018,890,12/1/2018,1134,12/1/2018,1400
1/1/2019,906,1/1/2019,1154,1/1/2019,1405
2/1/2019,905,2/1/2019,1149,2/1/2019,1396
3/1/2019,902,3/1/2019,1119,3/1/2019,1396
4/1/2019,898,4/1/2019,1118,4/1/2019,1400
5/1/2019,919,5/1/2019,1149,5/1/2019,1422
6/1/2019,901,6/1/2019,1124,6/1/2019,1406
7/1/2019,892,7/1/2019,1101,7/1/2019,1425
8/1/2019,898,8/1/2019,1136,8/1/2019,1448
9/1/2019,892,9/1/2019,1124,9/1/2019,1418
10/1/2019,889,10/1/2019,1115,10/1/2019,1402
11/1/2019,894,11/1/2019,1102,11/1/2019,1412
12/1/2019,873,12/1/2019,1092,12/1/2019,1406
1/1/2020,861,1/1/2020,1088,1/1/2020,1417
2/1/2020,865,2/1/2020,1092,2/1/2020,1444
3/1/2020,855,3/1/2020,1099,3/1/2020,1449
4/1/2020,861,4/1/2020,1092,4/1/2020,1450
5/1/2020,871,5/1/2020,1090,5/1/2020,1455
6/1/2020,879,6/1/2020,1095,6/1/2020,1479
7/1/2020,878,7/1/2020,1100,7/1/2020,1495
8/1/2020,896,8/1/2020,1100,8/1/2020,1495
9/1/2020,901,9/1/2020,1112,9/1/2020,1482
10/1/2020,904,10/1/2020,1128,10/1/2020,1456
11/1/2020,928,11/1/2020,1145,11/1/2020,1475
12/1/2020,927,12/1/2020,1147,12/1/2020,1499
1/1/2021,947,1/1/2021,1166,1/1/2021,1464
2/1/2021,969,2/1/2021,1202,2/1/2021,1473
3/1/2021,953,3/1/2021,1198,3/1/2021,1537
4/1/2021,937,4/1/2021,1159,4/1/2021,1504
5/1/2021,916,5/1/2021,1132,5/1/2021,1534
6/1/2021,950,6/1/2021,1184,6/1/2021,1572
7/1/2021,977,7/1/2021,1205,7/1/2021,1620
8/1/2021,1007,8/1/2021,1260,8/1/2021,1667
9/1/2021,1050,9/1/2021,1304,9/1/2021,1697
10/1/2021,1064,10/1/2021,1329,10/1/2021,1696
11/1/2021,1094,11/1/2021,1400,11/1/2021,1697
12/1/2021,1130,12/1/2021,1431,12/1/2021,1698
1/1/2022,1076,1/1/2022,1373,1/1/2022,1754
2/1/2022,1079,2/1/2022,1384,2/1/2022,1748
3/1/2022,1052,3/1/2022,1387,3/1/2022,1743
4/1/2022,1077,4/1/2022,1374,4/1/2022,1732
5/1/2022,1102,5/1/2022,1413,5/1/2022,1745
6/1/2022,1141,6/1/2022,1423,6/1/2022,1763
7/1/2022,1129,7/1/2022,1408,7/1/2022,1794
8/1/2022,1129,8/1/2022,1410,8/1/2022,1782
9/1/2022,1156,9/1/2022,1456,9/1/2022,1749
10/1/2022,1166,10/1/2022,1447,10/1/2022,1755
11/1/2022,1179,11/1/2022,1443,11/1/2022,1747
12/1/2022,1199,12/1/2022,1464,12/1/2022,1750
