ID Real Estate Taxes Paid,Real Estate Taxes Paid,ID Year,Year,Real Estate Taxes by Mortgage,Real Estate Taxes by Mortgage Moe,Geography,ID Geography,Slug Geography,share
0,"Less Than $800",2020,"2020",10933041,41576.49616069157,"United States","01000US","united-states",0.13874175242828246
1,"$800 to $1,499",2020,"2020",12687284,46851.8859599056,"United States","01000US","united-states",0.1610033307032608
2,"$1,500 to $1,999",2020,"2020",7456713,32038.92721362562,"United States","01000US","united-states",0.09462668519899957
3,"$2,000 to $2,999",2020,"2020",12055376,49350.868786678926,"United States","01000US","united-states",0.15298433367457948
4,"$3,000 or More",2020,"2020",32307496,108348.73799449627,"United States","01000US","united-states",0.40998644490674885
5,"No Real Estate Taxes Paid",2020,"2020",3361466,18899.94290996669,"United States","01000US","united-states",0.042657453088128815
0,"Less Than $800",2020,"2020",9279,848.9098892108631,"Travis County, TX","05000US48453","travis-county-tx",0.03562611583574898
1,"$800 to $1,499",2020,"2020",9057,971.6892507381153,"Travis County, TX","05000US48453","travis-county-tx",0.034773761302336295
2,"$1,500 to $1,999",2020,"2020",6846,798.075810935277,"Travis County, TX","05000US48453","travis-county-tx",0.02628477088172621
3,"$2,000 to $2,999",2020,"2020",19218,1225.200799869148,"Travis County, TX","05000US48453","travis-county-tx",0.07378625866272484
4,"$3,000 or More",2020,"2020",209379,3344.9980568006313,"Travis County, TX","05000US48453","travis-county-tx",0.8038970263577201
5,"No Real Estate Taxes Paid",2020,"2020",6676,836.6749667582985,"Travis County, TX","05000US48453","travis-county-tx",0.025632066959743526
0,"Less Than $800",2019,"2019",11116778,38560.90797686175,"United States","01000US","united-states",0.14386110708541294
1,"$800 to $1,499",2019,"2019",12864206,49109.35984107306,"United States","01000US","united-states",0.16647439725204657
2,"$1,500 to $1,999",2019,"2019",7474286,34161.31920754817,"United States","01000US","united-states",0.09672398411059417
3,"$2,000 to $2,999",2019,"2019",11877218,47802.053188121536,"United States","01000US","united-states",0.15370188471648838
4,"$3,000 or More",2019,"2019",30755160,118969.237826423,"United States","01000US","united-states",0.39799943528502674
5,"No Real Estate Taxes Paid",2019,"2019",3186733,19969.552548817916,"United States","01000US","united-states",0.04123919155043118
0,"Less Than $800",2019,"2019",9754,738.2370892877166,"Travis County, TX","05000US48453","travis-county-tx",0.03943384097901363
